År,Måned,Dag,Tid,Volum totalt,Lufttemperatur,Relativ luftfuktighet,Lufttrykk
2015,12,16,11,497,5.9,53.0,1011.6
2015,12,16,12,466,6.4,52.0,1010.1
2015,12,16,13,540,4.5,63.0,1009.3
2015,12,16,14,778,3.3,75.0,1008.8
2015,12,16,15,648,2.5,87.0,1008.1
2015,12,16,16,419,2.3,90.0,1007.3
2015,12,16,17,340,4.4,93.0,1006.3
2015,12,16,18,373,6.6,83.0,1005.4
2015,12,16,19,261,6.5,83.0,1004.9
2015,12,16,20,203,6.7,85.0,1004.2
2015,12,16,21,423,7.3,82.0,1003.7
2015,12,16,22,356,6.6,88.0,1003.4
2015,12,16,23,64,6.6,91.0,1003.2
2015,12,17,0,56,6.6,92.0,1002.6
2015,12,17,1,39,6.8,93.0,1002.4
2015,12,17,2,41,6.7,94.0,1002.4
2015,12,17,3,42,7.0,94.0,1002.0
2015,12,17,4,41,7.1,94.0,1001.7
2015,12,17,5,183,7.5,94.0,1001.2
2015,12,17,6,477,7.6,94.0,1000.2
2015,12,17,7,714,7.6,93.0,1000.0
2015,12,17,8,448,7.6,94.0,999.5
2015,12,17,9,433,8.3,93.0,999.5
2015,12,17,10,468,8.4,92.0,999.0
2015,12,17,11,483,8.5,93.0,998.3
2015,12,17,12,517,9.0,92.0,997.0
2015,12,17,13,557,9.1,92.0,996.7
2015,12,17,14,798,9.4,93.0,996.0
2015,12,17,15,720,9.6,92.0,995.5
2015,12,17,16,461,9.4,94.0,995.0
2015,12,17,17,399,9.6,94.0,994.6
2015,12,17,18,359,9.9,93.0,994.0
2015,12,17,19,248,9.5,94.0,993.8
2015,12,17,20,245,9.4,94.0,993.5
2015,12,17,21,145,9.3,94.0,993.1
2015,12,17,22,129,9.2,95.0,993.0
2015,12,17,23,68,9.1,95.0,992.4
2015,12,18,0,66,9.3,95.0,992.6
2015,12,18,1,51,9.3,95.0,993.0
2015,12,18,2,54,9.1,95.0,993.3
2015,12,18,3,28,9.1,95.0,993.5
2015,12,18,4,45,9.2,95.0,993.1
2015,12,18,5,186,9.2,95.0,993.0
2015,12,18,6,455,9.3,94.0,993.0
2015,12,18,7,599,9.2,94.0,993.0
2015,12,18,8,455,9.2,94.0,993.3
2015,12,18,9,424,9.2,93.0,993.5
2015,12,18,10,473,9.1,93.0,994.0
2015,12,18,11,512,9.1,93.0,994.0
2015,12,18,12,584,9.1,93.0,994.3
2015,12,18,13,677,9.1,93.0,994.3
2015,12,18,14,819,9.3,92.0,994.1
2015,12,18,15,689,9.6,89.0,994.5
2015,12,18,16,593,9.1,91.0,995.0
2015,12,18,17,392,9.0,92.0,995.0
2015,12,18,18,319,9.1,90.0,995.1
2015,12,18,19,267,9.4,90.0,995.6
2015,12,18,20,166,9.2,90.0,995.5
2015,12,18,21,117,8.9,93.0,995.1
2015,12,18,22,149,8.5,94.0,995.0
2015,12,18,23,89,8.9,95.0,994.8
2015,12,19,0,75,9.3,95.0,995.0
