,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Trafikkregistreringspunkt,Navn,         Vegreferanse,          Fra,                Til,              Dato,    Fra tidspunkt,Til tidspunkt,Felt,Trafikkmengde,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
1,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T15:00+02:00,2015-07-16T16:00+02:00,2015-07-16,    15:00,         16:00,1,-,"0,0",1,1,1,-,-,-,-,-,-,-,-,-,-
2,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T15:00+02:00,2015-07-16T16:00+02:00,2015-07-16,    15:00,         16:00,2,-,"0,0",1,1,1,-,-,-,-,-,-,-,-,-,-
3,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T15:00+02:00,2015-07-16T16:00+02:00,2015-07-16,    15:00,         16:00,Totalt i retning Danmarksplass,-,"0,0",1,1,1,-,-,-,-,-,-,-,-,-,-
4,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T15:00+02:00,2015-07-16T16:00+02:00,2015-07-16,    15:00,         16:00,Totalt i retning Florida,-,"0,0",1,1,1,-,-,-,-,-,-,-,-,-,-
5,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T15:00+02:00,2015-07-16T16:00+02:00,2015-07-16,    15:00,         16:00,Totalt,-,"0,0",1,1,1,-,-,-,-,-,-,-,-,-,-
6,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T16:00+02:00,2015-07-16T17:00+02:00,2015-07-16,    16:00,         17:00,1,66,"100,0",1,1,0,66,"0,00",-,-,-,-,-,-,-,-
7,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T16:00+02:00,2015-07-16T17:00+02:00,2015-07-16,    16:00,         17:00,2,35,"100,0",1,1,0,35,"0,00",-,-,-,-,-,-,-,-
8,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T16:00+02:00,2015-07-16T17:00+02:00,2015-07-16,    16:00,         17:00,Totalt i retning Danmarksplass,35,"100,0",1,1,0,35,"0,00",-,-,-,-,-,-,-,-
9,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T16:00+02:00,2015-07-16T17:00+02:00,2015-07-16,    16:00,         17:00,Totalt i retning Florida,66,"100,0",1,1,0,66,"0,00",-,-,-,-,-,-,-,-
10,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T16:00+02:00,2015-07-16T17:00+02:00,2015-07-16,   16:00,        17:00,Totalt,101,"100,0",1,1,0,101,"0,00",-,-,-,-,-,-,-,-
11,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T17:00+02:00,2015-07-16T18:00+02:00,2015-07-16,   17:00,        18:00,1,44,"100,0",1,1,0,44,"0,00",-,-,-,-,-,-,-,-
12,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T17:00+02:00,2015-07-16T18:00+02:00,2015-07-16,   17:00,        18:00,2,35,"100,0",1,1,0,35,"0,00",-,-,-,-,-,-,-,-
13,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T17:00+02:00,2015-07-16T18:00+02:00,2015-07-16,   17:00,        18:00,Totalt i retning Danmarksplass,35,"100,0",1,1,0,35,"0,00",-,-,-,-,-,-,-,-
14,17510B2483952,Gamle Nygårdsbru sykkel,KV256 S2D1 m75,2015-07-16T17:00+02:00,2015-07-16T18:00+02:00,2015-07-16,   17:00,        18:00,Totalt i retning Florida,44,"100,0",1,1,0,44,"0,00",-,-,-,-,-,-,-,-
