DateFormatted,1,2,Totalt,Totalt i retning Danmarksplass,Totalt i retning Florida
2015-07-16 16:00:00,66.0,35.0,101.0,35.0,66.0
2015-07-16 17:00:00,44.0,35.0,79.0,35.0,44.0
2015-07-16 18:00:00,39.0,17.0,56.0,17.0,39.0
2015-07-16 19:00:00,29.0,16.0,45.0,16.0,29.0
2015-07-16 20:00:00,30.0,11.0,41.0,11.0,30.0
2015-07-16 21:00:00,16.0,9.0,25.0,9.0,16.0
2015-07-16 22:00:00,13.0,10.0,23.0,10.0,13.0
2015-07-16 23:00:00,10.0,4.0,14.0,4.0,10.0
2015-07-17 00:00:00,2.0,4.0,6.0,4.0,2.0
2015-07-17 01:00:00,6.0,1.0,7.0,1.0,6.0
2015-07-17 02:00:00,1.0,0.0,1.0,0.0,1.0
2015-07-17 03:00:00,2.0,0.0,2.0,0.0,2.0
2015-07-17 04:00:00,3.0,2.0,5.0,2.0,3.0
2015-07-17 05:00:00,1.0,3.0,4.0,3.0,1.0
2015-07-17 06:00:00,17.0,19.0,36.0,19.0,17.0
2015-07-17 07:00:00,33.0,51.0,84.0,51.0,33.0
2015-07-17 08:00:00,15.0,53.0,68.0,53.0,15.0
2015-07-17 09:00:00,10.0,34.0,44.0,34.0,10.0
2015-07-17 10:00:00,11.0,24.0,35.0,24.0,11.0
2015-07-17 11:00:00,27.0,17.0,44.0,17.0,27.0
2015-07-17 12:00:00,20.0,29.0,49.0,29.0,20.0
2015-07-17 13:00:00,38.0,30.0,68.0,30.0,38.0
2015-07-17 14:00:00,43.0,28.0,71.0,28.0,43.0
2015-07-17 15:00:00,78.0,47.0,125.0,47.0,78.0
2015-07-17 16:00:00,70.0,34.0,104.0,34.0,70.0
2015-07-17 17:00:00,36.0,24.0,60.0,24.0,36.0
2015-07-17 18:00:00,28.0,14.0,42.0,14.0,28.0
2015-07-17 19:00:00,29.0,17.0,46.0,17.0,29.0
2015-07-17 20:00:00,9.0,5.0,14.0,5.0,9.0
2015-07-17 21:00:00,15.0,2.0,17.0,2.0,15.0
2015-07-17 22:00:00,6.0,7.0,13.0,7.0,6.0
2015-07-17 23:00:00,10.0,3.0,13.0,3.0,10.0
2015-07-18 00:00:00,6.0,1.0,7.0,1.0,6.0
2015-07-18 01:00:00,5.0,0.0,5.0,0.0,5.0
2015-07-18 02:00:00,2.0,0.0,2.0,0.0,2.0
2015-07-18 03:00:00,2.0,1.0,3.0,1.0,2.0
2015-07-18 04:00:00,5.0,1.0,6.0,1.0,5.0
2015-07-18 05:00:00,2.0,2.0,4.0,2.0,2.0
2015-07-18 06:00:00,0.0,5.0,5.0,5.0,0.0
2015-07-18 07:00:00,2.0,3.0,5.0,3.0,2.0
2015-07-18 08:00:00,4.0,6.0,10.0,6.0,4.0
2015-07-18 09:00:00,5.0,13.0,18.0,13.0,5.0
2015-07-18 10:00:00,6.0,8.0,14.0,8.0,6.0
2015-07-18 11:00:00,5.0,7.0,12.0,7.0,5.0
2015-07-18 12:00:00,3.0,9.0,12.0,9.0,3.0
2015-07-18 13:00:00,8.0,5.0,13.0,5.0,8.0
2015-07-18 14:00:00,14.0,7.0,21.0,7.0,14.0
2015-07-18 15:00:00,12.0,2.0,14.0,2.0,12.0
2015-07-18 16:00:00,10.0,3.0,13.0,3.0,10.0
2015-07-18 17:00:00,8.0,6.0,14.0,6.0,8.0
2015-07-18 18:00:00,8.0,1.0,9.0,1.0,8.0
2015-07-18 19:00:00,0.0,4.0,4.0,4.0,0.0
2015-07-18 20:00:00,7.0,3.0,10.0,3.0,7.0
2015-07-18 21:00:00,3.0,5.0,8.0,5.0,3.0
2015-07-18 22:00:00,6.0,3.0,9.0,3.0,6.0
2015-07-18 23:00:00,2.0,2.0,4.0,2.0,2.0
2015-07-19 00:00:00,5.0,3.0,8.0,3.0,5.0
2015-07-19 01:00:00,7.0,1.0,8.0,1.0,7.0
2015-07-19 02:00:00,3.0,0.0,3.0,0.0,3.0
2015-07-19 03:00:00,2.0,1.0,3.0,1.0,2.0
2015-07-19 04:00:00,2.0,0.0,2.0,0.0,2.0
2015-07-19 05:00:00,1.0,1.0,2.0,1.0,1.0
2015-07-19 06:00:00,2.0,5.0,7.0,5.0,2.0
2015-07-19 07:00:00,2.0,2.0,4.0,2.0,2.0
2015-07-19 08:00:00,2.0,4.0,6.0,4.0,2.0
2015-07-19 09:00:00,4.0,6.0,10.0,6.0,4.0
2015-07-19 10:00:00,5.0,6.0,11.0,6.0,5.0
2015-07-19 11:00:00,5.0,11.0,16.0,11.0,5.0
2015-07-19 12:00:00,7.0,14.0,21.0,14.0,7.0
2015-07-19 13:00:00,17.0,16.0,33.0,16.0,17.0
2015-07-19 14:00:00,16.0,17.0,33.0,17.0,16.0
2015-07-19 15:00:00,20.0,15.0,35.0,15.0,20.0
2015-07-19 16:00:00,15.0,10.0,25.0,10.0,15.0
2015-07-19 17:00:00,21.0,13.0,34.0,13.0,21.0
2015-07-19 18:00:00,15.0,9.0,24.0,9.0,15.0
2015-07-19 19:00:00,5.0,8.0,13.0,8.0,5.0
2015-07-19 20:00:00,12.0,1.0,13.0,1.0,12.0
2015-07-19 21:00:00,7.0,2.0,9.0,2.0,7.0
2015-07-19 22:00:00,4.0,4.0,8.0,4.0,4.0
2015-07-19 23:00:00,3.0,1.0,4.0,1.0,3.0
2015-07-20 00:00:00,2.0,0.0,2.0,0.0,2.0
2015-07-20 01:00:00,1.0,2.0,3.0,2.0,1.0
2015-07-20 02:00:00,0.0,1.0,1.0,1.0,0.0
2015-07-20 03:00:00,1.0,0.0,1.0,0.0,1.0
2015-07-20 04:00:00,4.0,2.0,6.0,2.0,4.0
2015-07-20 05:00:00,3.0,4.0,7.0,4.0,3.0
2015-07-20 06:00:00,17.0,21.0,38.0,21.0,17.0
2015-07-20 07:00:00,32.0,49.0,81.0,49.0,32.0
2015-07-20 08:00:00,19.0,72.0,91.0,72.0,19.0
2015-07-20 09:00:00,10.0,19.0,29.0,19.0,10.0
2015-07-20 10:00:00,19.0,21.0,40.0,21.0,19.0
2015-07-20 11:00:00,14.0,31.0,45.0,31.0,14.0
2015-07-20 12:00:00,17.0,21.0,38.0,21.0,17.0
2015-07-20 13:00:00,21.0,19.0,40.0,19.0,21.0
2015-07-20 14:00:00,32.0,20.0,52.0,20.0,32.0
2015-07-20 15:00:00,87.0,35.0,122.0,35.0,87.0
2015-07-20 16:00:00,77.0,31.0,108.0,31.0,77.0
2015-07-20 17:00:00,51.0,18.0,69.0,18.0,51.0
2015-07-20 18:00:00,30.0,24.0,54.0,24.0,30.0
2015-07-20 19:00:00,30.0,16.0,46.0,16.0,30.0
2015-07-20 20:00:00,14.0,10.0,24.0,10.0,14.0
2015-07-20 21:00:00,22.0,11.0,33.0,11.0,22.0
2015-07-20 22:00:00,9.0,7.0,16.0,7.0,9.0
2015-07-20 23:00:00,6.0,3.0,9.0,3.0,6.0
2015-07-21 00:00:00,6.0,2.0,8.0,2.0,6.0
2015-07-21 01:00:00,3.0,1.0,4.0,1.0,3.0
2015-07-21 02:00:00,1.0,0.0,1.0,0.0,1.0
2015-07-21 03:00:00,1.0,0.0,1.0,0.0,1.0
2015-07-21 04:00:00,4.0,1.0,5.0,1.0,4.0
2015-07-21 05:00:00,1.0,3.0,4.0,3.0,1.0
2015-07-21 06:00:00,8.0,15.0,23.0,15.0,8.0
2015-07-21 07:00:00,23.0,34.0,57.0,34.0,23.0
2015-07-21 08:00:00,16.0,47.0,63.0,47.0,16.0
2015-07-21 09:00:00,8.0,25.0,33.0,25.0,8.0
2015-07-21 10:00:00,5.0,13.0,18.0,13.0,5.0
2015-07-21 11:00:00,11.0,16.0,27.0,16.0,11.0
